F06[C-C],SpMin1_Bh(p),CATS2D_06_LL,B06[C-Cl],alvo
25,2.06619545627947,9,1,6.431798275933005
18,2.0860263639504,7,1,6.468521082957745
18,2.08573258080707,5,1,5.388276691992658
18,2.0863418790973,7,1,5.6439741428068775
18,2.08594024176855,9,0,6.1249387366083
19,2.0870028368817,9,0,5.681936665037238
29,2.09330762417941,9,0,5.882728704344236
30,2.09496805780448,9,0,6.7447274948966935
15,2.08521245223812,4,0,5.943095148663527
15,2.08525417543728,2,0,6.036212172654444
15,2.08506564352015,4,0,5.300162274132754
15,2.08490830692647,2,1,5.896196279044043
18,2.08691350922283,9,0,5.152427340857888
20,2.08794321269317,9,0,5.079876673709276
28,2.09898601626382,11,1,5.634512015109101
31,2.09964145368162,14,0,4.522878745280337
32,2.09963830267315,16,0,4.672028376376989
18,2.08635950387746,9,0,6.070581074285707
18,2.08646359850713,7,0,5.139063379299906
18,2.08645048357548,5,0,6.337242168318426
18,2.08559786896648,7,1,6.1938200260161125
18,2.08575397895544,7,1,5.91721462968355
18,2.08571046051047,5,1,5.531652669587842
34,2.100315590279,18,0,4.522878745280337
33,2.1001994768437,16,0,4.522878745280337
32,2.09968011700452,14,0,5.023650020996727
28,2.09889675568643,11,0,5.133122185662502
28,2.09881867871683,9,1,4.799149501908922
28,2.09885133000887,11,1,5.350665141287858
28,2.0990711683359,11,0,5.367542707815276
29,2.09906885319117,11,0,5.521433504406157
28,2.09921921010724,11,0,5.681936665037238
15,2.08507729453642,4,0,5.36251027048749
15,2.08504544582534,4,0,5.333482019445119
15,2.08546367246724,4,0,5.281498311132726
16,2.08545128357926,4,0,5.958607314841775
15,2.08584475145002,4,0,5.042871802323187
15,2.08526639805938,4,1,4.9503943874050265
16,2.0854202267248,4,0,5.568636235841013
15,2.08524944045023,4,0,5.522878745280337
24,2.09228447187331,2,0,5.701146923590294
24,2.09242824118356,2,0,5.235077015350112
24,2.09103003531457,2,1,6.769551078621726
24,2.0913009199319,2,1,5.723538195826756
24,2.09122472469306,2,1,7.221848749616356
24,2.0917472751288,2,1,5.809668301829708
24,2.09126142626994,2,1,6.4089353929735005
24,2.09224919650276,2,1,5.703334809738469
19,2.08706497115682,9,0,5.671620396561262
20,2.08728002724137,9,0,4.997402019280091
18,2.08647931227245,7,0,4.861697301833718
19,2.08651415006922,9,0,5.85078088734462
20,2.08769753705472,9,0,6.086186147616283
19,2.08647003622582,9,0,6.366531544420414
19,2.08656870304183,7,0,5.4156687756324695
28,2.09305075387095,7,1,5.966576244513051
27,2.09301384624112,7,1,5.823908740944319
24,2.09161171450811,2,0,5.425968732272281
25,2.09324728909685,2,0,6.356547323513813
20,2.08668915621692,5,0,5.812479279163537
27,2.093654664768,7,1,6.251811972993799
29,2.09502005934863,7,1,5.935542010773082
28,2.09385106569626,7,1,5.943095148663527
24,2.09246748562478,2,0,6.022276394711152
28,2.09299346952684,7,1,6.356547323513813
25,2.09244823997926,2,0,5.421360790031928
26,2.09422151040059,2,0,6.920818753952375
24,2.09229262573043,4,1,5.85078088734462
24,2.09243623032813,4,1,5.7121982700697735
24,2.09123414170093,4,1,7.522878745280337
29,2.09470000639501,7,1,5.785156151952302
31,2.09920015290761,14,1,4.522878745280337
31,2.0994241493746,14,1,5.094743951251549
31,2.09927559450978,12,1,5.13430394008393
21,2.08794145987161,11,0,5.563837352959244
27,2.09283659612082,7,1,5.935542010773082
27,2.09297577905092,7,1,6.346787486224656
28,2.09315556474637,9,0,5.739928612014925
28,2.09329160306068,9,0,5.790484985457369
28,2.0922263947321,9,1,6.180456064458132
28,2.09312502937637,9,1,5.554395796726403
28,2.09252115135988,9,0,5.7447274948966935
31,2.09956922025163,14,1,5.150580586203101
27,2.09188505279968,7,1,6.045757490560675
27,2.0918104571356,7,1,5.939302159646388
24,2.093128232789,2,0,5.563837352959244
26,2.0945533137629,2,0,6.958607314841775
25,2.09333860058524,2,0,6.3872161432802645
25,2.09250978605232,2,0,6.096910013008056
28,2.0926470541677,9,1,5.543633966870957
24,2.09175610488989,4,1,5.892790030352131
28,2.09395705442434,9,0,5.795880017344075
31,2.09938233441598,16,0,5.197226274708024
32,2.09988921613502,16,0,4.522878745280337
32,2.09991777308681,16,0,4.522878745280337
32,2.09965997635001,16,0,4.522878745280337
24,2.0922558099583,4,1,5.935542010773082
25,2.09325706699376,4,1,6.251811972993799
24,2.09313356134136,4,1,5.756961951313706
26,2.09456508418728,4,1,8.0
30,2.09528030953292,9,0,6.259637310505756
27,2.09231636091756,7,1,6.050609993355088
27,2.09184591237346,7,1,5.889410289700751
27,2.09280371723642,7,1,6.008773924307505
27,2.09218640060216,7,1,6.309803919971486
28,2.09376289501069,7,1,5.966576244513051
31,2.09958922659715,16,0,4.522878745280337
31,2.09963352848223,12,0,5.100179497572904
25,2.09334837401139,4,1,7.221848749616356
29,2.09414241529169,9,0,6.337242168318426
29,2.09336158898645,9,0,5.609064892896621
28,2.09332913109663,9,0,5.987162775294828
